gm_naam,n,mean_true,mean_pred,mean_residual,mae,max_abs_error
Zandvoort,19,3.6770124979520706,3.1410464173869084,0.5359660805651624,0.6949085657848765,1.8217240733859328
Lelystad,136,2.6653289160763833,2.5850845702430783,0.08024434583330506,0.5671730546269076,3.106227834863878
Oudewater,18,2.044712456414575,2.292602413230472,-0.24788995681589698,0.5390267025890831,1.4110299348831177
Ameland,7,2.4471950614006235,2.9340100288391113,-0.4868149674384878,0.5330239502897147,1.1269631686511046
Noardeast-Fryslân,97,1.6171330969110533,1.773163329694689,-0.15603023278363562,0.5048022258922032,1.95116925239563
Waterland,19,2.6490269493120335,2.9483884384757593,-0.2993614891637259,0.47408748356754254,1.6633721590042114
Schouwen-Duiveland,51,2.536549725790907,2.616542354518292,-0.07999262872738516,0.4712056086693129,1.9060685965140112
Súdwest-Fryslân,155,1.721646910558081,1.8767080519468553,-0.15506114138877436,0.4708352811654252,1.7366546392440796
Voorschoten,12,3.9648232462397917,4.155229349931081,-0.19040610369128982,0.46350095038700506,1.257198842552829
Barendrecht,62,3.000971616078559,2.939458906650543,0.06151270942801584,0.46338595653865267,1.4833507179733163
Oss,106,2.8375478814674477,2.792245822132758,0.045302059334689185,0.4529183110405533,2.3024510742257647
Schiedam,70,4.033980638537098,3.764143935271672,0.2698367032654264,0.4484479849183789,2.978542273868088
Someren,34,2.3175787080950667,2.292206331210978,0.025372376884089165,0.4480195596935319,1.735909401833533
Capelle aan den IJssel,79,3.0900736639401396,3.326135581052756,-0.23606191711261643,0.4434546392041484,1.6805050990566963
Diemen,37,3.1958385738915376,3.2932220471871867,-0.0973834732956489,0.4414578373170786,1.8078778453294524
Bunnik,8,3.5426824884334183,3.4909707456827164,0.05171174275070202,0.4374596955489962,1.0105411552556791
Sint-Michielsgestel,23,2.836026301459473,2.977849727091582,-0.14182342563210862,0.41637097872548745,0.9691853823962218
Hilversum,43,3.9763220234151126,4.178878587345745,-0.2025565639306316,0.4148375006520451,1.8960479659793164
Nieuwegein,39,4.305525600319321,3.9440548419952393,0.3614707583240815,0.4130167553675245,3.183894411156966
Tilburg,254,3.345943088421948,3.312053269054007,0.03388981936794048,0.41139768527559467,1.9217153787612915
De Ronde Venen,25,3.437004002404773,3.7385069847106935,-0.30150298230592015,0.41059155846640005,2.105165958404541
Roerdalen,24,2.063854268120275,2.1453417552014193,-0.08148748708114446,0.40924025983023754,1.5066607017490146
Schagen,78,2.459236309316746,2.438413769006729,0.020822540310017013,0.40764862660337425,1.6177446842193604
Krimpenerwaard,68,2.483829739861246,2.5257895352209316,-0.04195979535968538,0.40574365911526145,1.7290722767372513
Zevenaar,40,2.996513147680356,3.0505293667316438,-0.05401621905128754,0.40361183867532946,1.4732842464420075
Huizen,30,3.125952688276014,3.412656545639038,-0.28670385736302456,0.40176464713105997,1.1923509855243442
Uithoorn,11,4.126245763584455,4.183024926619097,-0.05677916303464146,0.40046804016057497,1.0543718638720518
Asten,28,2.657237564665731,2.521471327969006,0.1357662366967249,0.3986039016644312,1.7162166090187352
Haaksbergen,29,2.5777094991713936,2.6965519436474503,-0.11884244447605684,0.39752083225891666,1.4151019306358616
Coevorden,68,1.9421859468888598,1.973050065776881,-0.030864118888021402,0.3964113679035092,1.562553558023716
Oost Gelre,41,2.454152500800686,2.5313081574149248,-0.07715565661423895,0.39542493457213496,1.5546690225601196
Wassenaar,21,3.617405522180498,3.59432730220613,0.023078219974368056,0.3944546259927847,2.097277367093062
Olst-Wijhe,23,2.4154294600281205,2.4096472729807314,0.005782187047389328,0.39310953454802444,0.8956837040044601
Heeze-Leende,5,2.2944206940899945,1.913212525844574,0.3812081682454206,0.38854593298002227,0.8556801652334438
Weert,38,3.3639647894275364,3.361829177329415,0.00213561209812179,0.38666500207780313,1.9879635177248751
Heerde,15,2.4338912969345525,2.4433677891890206,-0.009476492254468486,0.3836679761156612,1.508780274065281
Leudal,32,3.015993438563586,3.0382497385144234,-0.022256299950837527,0.37723887140939455,2.3210153579711914
Eersel,24,2.8449319382865226,2.7919908364613852,0.05294110182513706,0.37056588763937764,1.6703383487802066
Lopik,14,2.4063104804806446,2.6935105323791504,-0.2872000518985059,0.36947012386295,1.3743150432563287
Oisterwijk,35,3.017309499061171,3.034451947893415,-0.017142448832244157,0.3681377738866559,1.0120004910215408
Meppel,46,2.5633539422379177,2.6818348726500636,-0.1184809304121457,0.3678658108178537,1.236466104038692
Katwijk,42,3.790630128069677,3.6594660111836026,0.1311641168860745,0.35743708676763103,1.4068084230056908
Heemskerk,38,2.82659272975962,2.9175681071846107,-0.09097537742499062,0.3550770065739585,1.2633726341351772
Purmerend,31,4.275809182141241,4.283219118272105,-0.0074099361308632185,0.3505820773129347,2.1048514862033603
Rijswijk,32,4.215295472539584,4.137028407305479,0.07826706523410433,0.34937155326797487,1.5982339712698708
Woudenberg,11,3.3883200185857065,3.1600168618288906,0.2283031567568157,0.34189443187534324,0.8699899168190282
Arnhem,83,4.568337274873932,4.398612151662987,0.1697251232109447,0.33607781415362725,1.9468584818467036
Veendam,17,3.5655468865112323,3.3001915006076588,0.26535538590357377,0.3347554881053342,0.882856005676723
Zeewolde,11,3.6083334942825984,3.9070397940548984,-0.29870629977229973,0.3336527368904822,0.8324122627234918
Hof van Twente,48,2.563409310886304,2.6187939159572124,-0.05538460507090836,0.3278013158710937,1.086589763327552
Beesel,8,2.808204170121393,2.8438708782196045,-0.0356667080982115,0.32683458316161357,0.7386301378749978
Zeist,35,3.6737905364962353,3.91405691078731,-0.2402663742910748,0.3246012202554286,1.2033136127394657
Haarlem,111,3.956125892863389,3.9033771882186064,0.05274870464478237,0.32380470317126286,1.3909924030303955
Helmond,44,4.234530490697204,4.091189595786008,0.14334089491119667,0.32192363094709125,1.1214777099312112
Uitgeest,6,3.9145736531374236,3.791414419809977,0.12315923332744617,0.31377294945927814,0.7631497961925469
Heerenveen,31,3.0166437486741047,3.198521469869921,-0.1818777211958163,0.3107231457504454,1.0859968879649382
Heusden,17,3.733397804583526,3.976504914900836,-0.2431071103173096,0.3070083453424414,1.3337345161384102
Nijmegen,44,5.007468708598188,4.9485178779472,0.05895083065098727,0.3052260186892018,0.8563940761488893
Beek,8,3.4368196954130306,3.2820276468992233,0.15479204851380726,0.30422441806888023,0.5467914661149695
Twenterand,27,2.9253383175750582,2.846241248978509,0.07909706859654975,0.3034792200415821,0.7823673109554421
Hoogeveen,48,3.2417352997661406,3.0074462791283927,0.23428902063774806,0.30343399428636725,1.32122977967223
Beverwijk,36,3.686862123876919,3.615952710310618,0.07090941356630089,0.29097005224095956,1.273618818419605
Halderberge,20,3.543170217424663,3.3764388620853425,0.16673135533932096,0.26945178782904977,0.9037400432715909
Wijk bij Duurstede,18,3.146070351140347,3.338117665714688,-0.1920473145743409,0.2538772292232923,0.7900617442404512
Kerkrade,18,4.678418637937125,4.545911815431383,0.1325068225057426,0.2177626935807169,0.5037052828622306
Kapelle,6,3.2762422822714434,3.433502197265625,-0.1572599149941817,0.187415800206436,0.7169337509078004
