gm_naam,n,rmse,mae,mean_true,mean_pred,mean_abs_error
Ameland,7,0.6118891214124481,0.5330239502897147,2.4471950614006235,2.9340100288391113,0.5330239502897147
Arnhem,83,0.48490383320760555,0.33607781415362725,4.568337274873932,4.398612151662987,0.33607781415362725
Asten,28,0.5593376890794541,0.3986039016644312,2.657237564665731,2.521471327969006,0.3986039016644312
Barendrecht,62,0.5843764012165586,0.46338595653865267,3.000971616078559,2.939458906650543,0.46338595653865267
Beek,8,0.35682693734729015,0.30422441806888023,3.4368196954130306,3.2820276468992233,0.30422441806888023
Beesel,8,0.4138950696022738,0.32683458316161357,2.808204170121393,2.8438708782196045,0.32683458316161357
Beverwijk,36,0.4293662971627631,0.29097005224095956,3.686862123876919,3.615952710310618,0.29097005224095956
Bunnik,8,0.5855481504315282,0.4374596955489962,3.5426824884334183,3.4909707456827164,0.4374596955489962
Capelle aan den IJssel,79,0.5930126745848884,0.4434546392041484,3.0900736639401396,3.326135581052756,0.4434546392041484
Coevorden,68,0.5625580607961036,0.3964113679035092,1.9421859468888598,1.973050065776881,0.3964113679035092
De Ronde Venen,25,0.5988651615279469,0.41059155846640005,3.437004002404773,3.7385069847106935,0.41059155846640005
Diemen,37,0.581366107245352,0.4414578373170786,3.1958385738915376,3.2932220471871867,0.4414578373170786
Eersel,24,0.5349599138831435,0.37056588763937764,2.8449319382865226,2.7919908364613852,0.37056588763937764
Haaksbergen,29,0.5052286870481404,0.39752083225891666,2.5777094991713936,2.6965519436474503,0.39752083225891666
Haarlem,111,0.43407414897422486,0.32380470317126286,3.956125892863389,3.9033771882186064,0.32380470317126286
Halderberge,20,0.3571741743326406,0.26945178782904977,3.543170217424663,3.3764388620853425,0.26945178782904977
Heemskerk,38,0.4755596341979767,0.3550770065739585,2.82659272975962,2.9175681071846107,0.3550770065739585
Heerde,15,0.5244340665660563,0.3836679761156612,2.4338912969345525,2.4433677891890206,0.3836679761156612
Heerenveen,31,0.40442001170420017,0.3107231457504454,3.0166437486741047,3.198521469869921,0.3107231457504454
Heeze-Leende,5,0.5110259125883768,0.38854593298002227,2.2944206940899945,1.913212525844574,0.38854593298002227
Helmond,44,0.4368329635799989,0.32192363094709125,4.234530490697204,4.091189595786008,0.32192363094709125
Heusden,17,0.47750874185383557,0.3070083453424414,3.733397804583526,3.976504914900836,0.3070083453424414
Hilversum,43,0.5801617680605923,0.4148375006520451,3.9763220234151126,4.178878587345745,0.4148375006520451
Hof van Twente,48,0.4291199490034132,0.3278013158710937,2.563409310886304,2.6187939159572124,0.3278013158710937
Hoogeveen,48,0.4129055312540767,0.30343399428636725,3.2417352997661406,3.0074462791283927,0.30343399428636725
Huizen,30,0.5145629917146176,0.40176464713105997,3.125952688276014,3.412656545639038,0.40176464713105997
Kapelle,6,0.3065149240697174,0.187415800206436,3.2762422822714434,3.433502197265625,0.187415800206436
Katwijk,42,0.46619018481727476,0.35743708676763103,3.790630128069677,3.6594660111836026,0.35743708676763103
Kerkrade,18,0.25880459305439224,0.2177626935807169,4.678418637937125,4.545911815431383,0.2177626935807169
Krimpenerwaard,68,0.5539545538915152,0.40574365911526145,2.483829739861246,2.5257895352209316,0.40574365911526145
Lelystad,136,0.8040521337562891,0.5671730546269076,2.6653289160763833,2.5850845702430783,0.5671730546269076
Leudal,32,0.5898652374547465,0.37723887140939455,3.015993438563586,3.0382497385144234,0.37723887140939455
Lopik,14,0.5016216912746059,0.36947012386295,2.4063104804806446,2.6935105323791504,0.36947012386295
Meppel,46,0.49241898625118063,0.3678658108178537,2.5633539422379177,2.6818348726500636,0.3678658108178537
Nieuwegein,39,0.6663879017887084,0.4130167553675245,4.305525600319321,3.9440548419952393,0.4130167553675245
Nijmegen,44,0.37019105912045347,0.3052260186892018,5.007468708598188,4.9485178779472,0.3052260186892018
Noardeast-Fryslân,97,0.640170172009898,0.5048022258922032,1.6171330969110533,1.773163329694689,0.5048022258922032
Oisterwijk,35,0.4389297358943786,0.3681377738866559,3.017309499061171,3.034451947893415,0.3681377738866559
Olst-Wijhe,23,0.4701190013564651,0.39310953454802444,2.4154294600281205,2.4096472729807314,0.39310953454802444
Oost Gelre,41,0.4951531421079015,0.39542493457213496,2.454152500800686,2.5313081574149248,0.39542493457213496
Oss,106,0.5879787986850161,0.4529183110405533,2.8375478814674477,2.792245822132758,0.4529183110405533
Oudewater,18,0.6664251930139077,0.5390267025890831,2.044712456414575,2.292602413230472,0.5390267025890831
Purmerend,31,0.5497292628990048,0.3505820773129347,4.275809182141241,4.283219118272105,0.3505820773129347
Renswoude,2,0.21924569113636597,0.17575460403733545,4.137815527289005,4.268884181976318,0.17575460403733545
Rijswijk,32,0.5181418901082585,0.34937155326797487,4.215295472539584,4.137028407305479,0.34937155326797487
Roerdalen,24,0.5290385986311417,0.40924025983023754,2.063854268120275,2.1453417552014193,0.40924025983023754
Schagen,78,0.5463274347241185,0.40764862660337425,2.459236309316746,2.438413769006729,0.40764862660337425
Scherpenzeel,3,0.2327911915564559,0.19333350312026523,3.781549605032286,3.818225383758545,0.19333350312026523
Schiedam,70,0.6753281493633012,0.4484479849183789,4.033980638537098,3.764143935271672,0.4484479849183789
Schouwen-Duiveland,51,0.6376075538468172,0.4712056086693129,2.536549725790907,2.616542354518292,0.4712056086693129
Sint-Michielsgestel,23,0.4941627147521964,0.41637097872548745,2.836026301459473,2.977849727091582,0.41637097872548745
Someren,34,0.620297731147275,0.4480195596935319,2.3175787080950667,2.292206331210978,0.4480195596935319
Súdwest-Fryslân,155,0.5862474870306436,0.4708352811654252,1.721646910558081,1.8767080519468553,0.4708352811654252
Tilburg,254,0.5531578857871341,0.41139768527559467,3.345943088421948,3.312053269054007,0.41139768527559467
Twenterand,27,0.3752286544148487,0.3034792200415821,2.9253383175750582,2.846241248978509,0.3034792200415821
Uitgeest,6,0.4069938090752448,0.31377294945927814,3.9145736531374236,3.791414419809977,0.31377294945927814
Uithoorn,11,0.49736022234906446,0.40046804016057497,4.126245763584455,4.183024926619097,0.40046804016057497
Veendam,17,0.4175951540896379,0.3347554881053342,3.5655468865112323,3.3001915006076588,0.3347554881053342
Voorschoten,12,0.6273385894978015,0.46350095038700506,3.9648232462397917,4.155229349931081,0.46350095038700506
Wassenaar,21,0.6037478258333226,0.3944546259927847,3.617405522180498,3.59432730220613,0.3944546259927847
Waterland,19,0.6790317711621886,0.47408748356754254,2.6490269493120335,2.9483884384757593,0.47408748356754254
Weert,38,0.5525614932778098,0.38666500207780313,3.3639647894275364,3.361829177329415,0.38666500207780313
Wijk bij Duurstede,18,0.34589899209259395,0.2538772292232923,3.146070351140347,3.338117665714688,0.2538772292232923
Woudenberg,11,0.44726558997440896,0.34189443187534324,3.3883200185857065,3.1600168618288906,0.34189443187534324
Zandvoort,19,0.9151906168712273,0.6949085657848765,3.6770124979520706,3.1410464173869084,0.6949085657848765
Zeewolde,11,0.43638536387269145,0.3336527368904822,3.6083334942825984,3.9070397940548984,0.3336527368904822
Zeist,35,0.44260023743280746,0.3246012202554286,3.6737905364962353,3.91405691078731,0.3246012202554286
Zevenaar,40,0.5392297111481248,0.40361183867532946,2.996513147680356,3.0505293667316438,0.40361183867532946
